#{"t_start": 1763241569.4602761, "env_id": "GridWorld-v0"}
r,l,t
-11.37,59,11.7295
-45.22,78,11.782502
9.78,23,11.798502
9.86,15,11.810501
9.86,15,11.826502
9.85,16,11.8405
9.86,15,11.8525
9.58,43,11.883501
9.83,18,11.899502
8.85,17,11.9125
8.8,22,11.9285
7.81,22,11.9435
9.81,20,11.969721
9.85,16,11.981706
-2.2,33,12.004703
9.8,21,12.02103
7.84,19,12.039029
9.87,14,12.049027
4.83,23,12.067027
0.83,27,12.089031
-5.18,34,12.116032
9.84,17,12.131027
9.77,24,12.151029
4.86,20,12.168029
8.82,20,12.191029
9.87,14,12.202027
8.79,23,12.217029
8.77,25,12.234029
9.83,18,12.256027
8.86,16,12.268028
2.83,25,12.284027
2.82,26,12.334305
-9.17,37,12.37366
9.86,15,12.383154
9.87,14,12.396154
5.84,21,12.412157
7.74,29,12.438158
3.82,25,12.458156
8.87,15,12.468156
8.82,20,12.481156
9.87,14,12.497371
7.84,19,12.513525
-34.19,64,12.561876
9.77,24,12.574879
9.87,14,12.588876
5.85,20,12.604876
4.85,21,12.620879
-59.27,97,12.689383
5.81,24,12.712387
-0.16,27,12.731383
-3.15,29,12.753575
6.8,24,12.771573
6.87,17,12.789573
8.85,17,12.802573
9.87,14,12.811573
7.83,20,12.825576
5.86,19,12.844576
9.77,24,12.864579
1.83,26,12.885574
-0.14,25,12.903573
4.72,34,12.931573
8.84,18,12.94459
8.85,17,12.956573
9.87,14,12.970574
9.82,19,12.988576
0.84,26,13.005574
9.86,15,13.019573
9.84,17,13.033578
9.87,14,13.052788
8.85,17,13.066923
9.84,17,13.081939
-8.18,37,13.108949
9.87,14,13.125003
9.87,14,13.134
-10.17,38,13.163006
7.85,18,13.177514
9.87,14,13.197516
9.82,19,13.213515
9.87,14,13.224516
9.8,21,13.240513
9.87,14,13.259515
9.84,17,13.273517
9.84,17,13.286515
-35.23,69,13.342557
7.83,20,13.361557
9.85,16,13.374556
8.87,15,13.385558
9.87,14,13.395556
9.86,15,13.413556
9.87,14,13.424556
9.85,16,13.438557
8.86,16,13.451556
9.75,26,13.477558
-26.15,52,13.517558
9.54,47,13.548062
9.87,14,13.558062
9.84,17,13.576494
9.85,16,13.592495
8.87,15,13.604493
9.87,14,13.614494
9.85,16,13.635491
9.87,14,13.647491
9.85,16,13.660492
9.86,15,13.673493
9.86,15,13.689493
2.81,27,13.708495
-36.2,67,13.760494
9.87,14,13.769491
9.87,14,13.785506
-101.21,133,13.873015
-5.13,29,13.890014
9.87,14,13.903014
9.87,14,13.917013
8.87,15,13.930013
9.85,16,13.943013
9.86,15,13.953012
9.87,14,13.97102
9.87,14,13.982015
9.85,16,13.994013
9.87,14,14.004013
9.85,16,14.018015
9.85,16,14.030013
2.8,28,14.049013
8.82,20,14.063013
9.86,15,14.081013
8.85,17,14.094017
9.86,15,14.107017
9.83,18,14.12106
8.87,15,14.136057
9.84,17,14.152061
9.87,14,14.162337
9.87,14,14.172337
9.85,16,14.191339
9.87,14,14.200348
-43.18,72,14.251352
9.87,14,14.264364
9.82,19,14.280367
8.84,18,14.296365
9.86,15,14.311365
8.85,17,14.326364
8.87,15,14.343364
9.87,14,14.354363
9.85,16,14.365364
9.85,16,14.378441
9.87,14,14.393445
-46.21,78,14.45071
-11.21,43,14.480711
9.87,14,14.48971
9.83,18,14.508711
9.07,94,14.576087
9.76,25,14.593089
9.61,40,14.627089
9.87,14,14.643087
8.85,17,14.65609
-57.19,87,14.719087
9.87,14,14.729087
9.87,14,14.747486
9.87,14,14.761491
9.87,14,14.772486
