#{"t_start": 1763240285.0248914, "env_id": "LunarLander-v3"}
r,l,t
-73.541311,85,26.823345
-100.407532,79,26.863662
-83.682066,96,26.937877
-197.20625,134,27.013024
-75.966137,95,27.060109
-85.690379,113,27.117279
-26.161886,122,27.361455
-46.971745,77,27.406244
-145.647525,148,27.486864
-75.265439,98,27.537152
-116.897619,113,27.589786
-108.844655,80,27.629141
-192.61928,98,27.676877
-147.962317,109,27.726999
-201.595396,99,27.779604
-77.85318,93,27.825702
-77.155886,132,28.077493
-82.976512,115,28.143678
-93.128131,127,28.211677
-142.349194,119,28.267901
-250.302963,131,28.334066
-150.237128,158,28.408749
-96.896547,104,28.45741
-234.572511,114,28.51655
-100.535334,137,28.776328
-157.156734,110,28.831657
-92.2125,90,28.881226
15.388836,125,28.945161
-38.059618,128,29.007378
-205.191005,113,29.058756
-79.949741,97,29.105372
11.990971,92,29.148507
-212.835128,134,29.211669
-89.852114,100,29.44773
-71.575846,95,29.501323
-118.556129,101,29.55562
-116.331155,105,29.613392
-100.44062,93,29.658026
-160.448146,107,29.704774
-135.510151,111,29.758938
-140.542097,102,29.810178
-143.33003,122,29.878048
-207.206657,107,29.933215
-17.320436,88,30.204607
-60.314897,67,30.249071
-46.995915,90,30.3182
-61.461907,88,30.374458
-53.199339,104,30.436272
-83.199767,86,30.47836
-161.021329,115,30.538593
-136.559258,80,30.577693
-109.981618,110,30.638124
-91.094734,114,30.69073
-214.287844,115,30.941539
-5.513935,138,31.014833
-73.109689,144,31.091902
-85.115119,132,32.287899
-104.645202,119,32.348263
-36.79727,139,32.414923
-67.442991,134,32.481874
-112.659647,99,32.528257
-91.15142,95,32.571576
-170.987777,173,32.844661
-114.403064,88,32.890088
-53.318402,74,32.929489
-246.263805,124,32.988578
-105.137478,75,33.025937
-77.982203,84,33.06554
-186.102569,152,33.131134
-96.388228,130,33.194501
-52.18782,66,33.227109
-77.341132,140,33.473675
-54.619375,73,33.51188
-97.393424,107,33.563062
-88.736265,99,33.618173
-51.265245,117,33.676596
-70.006821,90,33.721683
-39.023339,81,33.758322
-87.493128,69,33.789862
-95.83618,115,33.848765
-225.635747,110,33.901525
-70.797135,91,33.945663
-246.976614,138,34.20521
-60.122965,123,34.270822
-26.365592,84,34.316
-93.67457,82,34.356953
-114.278046,101,34.40558
-194.849228,90,34.446146
-54.372115,71,34.481858
-243.174711,112,34.533521
-71.315785,130,34.597679
-62.889681,121,34.844081
3.282709,173,34.935505
-41.206783,86,34.979544
-51.374415,97,35.036564
-87.58723,67,35.067094
-100.161148,129,35.130921
-86.066848,80,35.167992
-83.587533,127,35.231625
-42.306928,70,35.26571
-5.915283,94,35.310815
-95.996485,139,35.567669
-132.378087,83,35.613442
-132.129421,138,35.686071
-78.469121,113,35.741379
-61.871579,173,35.821875
36.7232,85,35.860506
-68.488957,145,35.931677
-57.618929,80,35.969825
-172.577009,130,36.035015
-33.280505,136,36.29537
-33.498119,92,36.349215
0.896745,87,36.394753
-90.044691,108,36.450864
-64.299948,80,36.488077
-63.828984,83,36.526152
-87.092883,103,36.577278
9.845754,96,36.621477
-101.808321,129,36.68499
-91.67163,82,36.721545
-66.888842,130,36.978749
-46.069012,117,37.040304
-33.146471,78,37.078336
-38.14133,104,37.135799
-82.887545,143,37.203403
-75.742609,109,37.258577
-84.402086,160,37.334968
-120.401661,155,37.407411
-209.912558,145,37.68328
-28.69683,165,37.76639
-25.173591,129,37.832044
-59.07696,99,37.881615
18.402367,196,37.974972
-186.307987,120,38.036594
-88.1311,129,38.099704
-17.789829,136,38.407545
-56.437067,124,38.472136
-4.645336,113,38.525923
-87.333655,68,38.563445
-151.712473,139,38.631085
-13.897374,91,38.6777
-73.381208,96,38.726304
-8.525221,88,38.770945
-82.273978,151,38.844668
-40.31756,97,38.894127
-8.653987,143,39.767477
-77.487046,125,39.825601
-63.920434,149,39.897123
14.763279,95,39.944588
-76.562458,127,40.011933
-38.206169,156,40.086702
-100.880955,142,40.153025
-51.858913,117,40.208749
-30.088708,122,40.443413
-46.810091,150,40.527157
-53.076144,162,40.609845
-20.893083,125,40.669606
-138.56718,125,40.723765
-49.306935,125,40.787424
31.556451,1000,41.551943
1.519398,122,41.608338
-11.868053,113,41.664608
-3.940878,221,41.978694
-137.352593,116,42.044857
6.735537,118,42.109982
-8.88441,213,42.219781
-4.04171,95,42.264409
-35.610551,155,42.343154
-12.133165,151,42.619561
-38.133905,146,42.693231
-23.626396,178,42.789459
-3.027244,175,42.876673
-17.341284,118,42.930254
-114.948076,141,43.000381
-104.426383,114,43.057575
-23.192772,94,43.10163
-27.126165,164,43.385757
12.632352,137,43.461514
-35.349036,191,43.556247
-224.187844,99,43.603445
-59.81491,149,43.675334
-96.477681,132,43.739772
-48.48518,166,43.822939
-71.471829,112,44.063728
-88.580301,160,44.147671
-66.95783,167,44.233075
-56.025172,102,44.282866
21.145217,117,44.334657
-12.757176,158,44.414489
-30.558586,157,44.49415
13.022607,144,44.756202
-15.834611,170,44.852212
-92.579984,266,44.989667
-30.035352,157,45.064356
-36.197185,166,45.145087
-25.739014,242,45.437212
12.73686,187,45.545212
19.719001,157,45.630277
-131.721721,127,45.691507
-28.182059,127,45.751131
-53.10765,115,45.805377
-4.328024,119,45.860491
-83.43358,186,46.134776
-47.680565,186,46.239987
-33.759933,148,46.318252
-135.597398,114,46.375063
-69.084157,101,46.420682
-44.840542,137,46.48701
-77.361007,132,47.61364
-10.111276,107,47.683822
-2.927002,182,47.980719
-12.574206,98,48.037777
8.30687,195,48.14145
-2.072377,169,48.224106
-21.527456,148,48.292902
-27.476444,148,48.364753
-14.801703,137,48.59856
-15.71766,161,48.682219
-79.971657,189,48.779275
2.46663,178,48.867318
-53.339352,184,48.953672
24.114037,146,49.023015
-46.775994,156,49.092196
-55.209472,180,49.356055
-32.98835,155,49.43886
-10.500117,117,49.495703
-29.704312,205,49.591912
23.100673,109,49.642286
-0.639075,150,49.713557
-9.432702,111,49.762182
-38.172023,114,50.014677
-26.56687,168,50.116434
4.582691,163,50.198683
-32.922389,233,50.30664
-61.470535,168,50.387508
-22.420404,145,50.456884
-25.876943,114,50.715312
-30.936134,93,50.767391
-117.730845,259,50.904616
-5.014824,172,50.9864
-47.858621,210,51.079774
2.810352,132,51.141776
-91.161444,171,51.410039
-98.946173,225,51.530664
22.522923,173,51.619022
-34.97053,128,51.681659
-50.947368,183,51.769793
14.306273,160,51.843568
-81.316521,109,52.106505
-62.004946,166,52.197906
-42.669074,186,52.305373
-245.835621,116,52.360598
-22.804219,142,52.429013
53.12592,1000,53.110095
29.128475,108,53.159188
19.018228,147,53.227936
20.626221,214,53.507085
-31.86463,163,53.599036
22.928721,162,53.688674
-86.932539,167,53.769502
-22.044433,231,53.87899
-135.562763,156,53.953621
-42.315263,125,54.193058
15.56074,158,54.27525
-29.684426,101,54.328329
-145.62726,113,54.383465
-170.705589,168,54.46922
-58.658717,139,55.286991
47.822881,152,55.35831
25.747051,134,55.422062
-8.743361,163,55.680963
20.149019,164,55.773112
-94.135868,152,55.84976
17.165683,182,55.938461
-17.553872,1000,56.661204
-27.463156,108,56.711651
-71.658197,152,56.7811
-25.767004,163,57.036708
-1.996276,99,57.088254
-44.078364,140,57.158363
-89.46374,139,57.230466
-19.741491,131,57.295195
-4.317119,110,57.344884
13.015683,151,57.419542
-35.360858,138,57.486343
-26.335427,83,57.703325
-33.190244,130,57.768873
7.849427,123,57.832925
29.872243,113,57.892984
44.371501,1000,58.578383
-13.710082,188,58.664964
-42.021654,148,58.738608
19.713223,181,58.825496
-45.103547,118,58.880505
-91.332669,82,59.100617
-26.694104,102,59.155168
-26.843742,171,59.251268
-37.68448,248,59.371539
-6.578082,136,59.432183
51.213383,193,59.52125
-184.447368,112,59.574282
-105.497656,212,59.863001
-153.479412,176,59.961362
17.372337,1000,60.640731
25.276989,131,60.705734
-21.983611,136,60.769872
-18.387654,90,60.816005
15.590703,176,60.90127
-15.394463,122,60.957627
-17.98408,193,61.231425
-8.57689,114,61.293015
-23.637585,106,61.353202
-0.305091,148,61.418312
24.784354,164,61.495164
-43.606773,151,61.566952
6.237912,157,61.637136
-25.130184,128,61.881702
-123.417452,284,63.484615
-29.567509,116,63.544297
-136.108946,133,63.605153
-35.849193,81,63.645109
-48.61481,136,63.707866
-44.353621,145,63.777496
-13.182054,277,64.100097
-42.82638,1000,64.78327
24.605174,1000,65.458354
-89.361845,188,65.557702
3.806429,138,65.621675
-50.084892,186,65.712936
-21.829095,141,65.779802
11.537823,156,65.85499
-46.704702,93,66.078228
-17.001966,117,66.136096
-9.551199,126,66.203205
-7.222815,115,66.260794
35.651364,170,66.341558
8.338641,108,66.393004
2.74998,197,66.481196
-88.636966,105,66.531899
41.19224,1000,67.210768
-102.8117,131,67.463645
-58.347151,102,67.51921
1.734756,151,67.595856
-6.869593,1000,68.272941
-11.020795,1000,68.966753
-20.059928,1000,69.653001
-18.986122,158,69.734162
-14.573029,134,69.79576
-54.195452,141,69.867302
43.37527,155,69.944596
25.344442,173,70.202979
-16.163034,176,71.412158
-43.832887,105,71.462303
22.142259,166,71.542331
-46.890641,167,71.625616
38.372125,124,71.679921
28.677593,140,71.749396
-40.453908,108,71.800825
-38.492017,253,72.110331
-13.884832,114,72.173883
-61.535646,141,72.240499
-18.821985,119,72.295164
20.183906,116,72.349324
-3.034428,118,72.404118
31.946685,183,72.66168
37.895718,175,72.754382
-28.71722,83,72.797413
-53.716684,94,72.84851
69.272046,171,72.939526
-130.291686,195,73.032896
-52.434859,254,73.151509
-29.187449,145,73.392939
17.629687,172,73.479004
-19.238684,121,73.543067
-61.881049,123,73.601811
1.542004,176,73.683252
-0.014901,150,73.753191
35.91266,182,73.841267
-40.551664,114,74.079637
-5.441172,187,74.179265
126.000438,1000,74.877328
-7.153965,131,74.942966
-10.677314,146,75.014102
15.452857,134,75.073038
29.934715,227,75.180954
-43.918872,149,75.484585
-80.01414,139,75.560634
-16.661562,160,75.645267
-20.280627,182,75.731911
-56.590448,111,75.786552
-42.982056,100,75.831795
-87.712978,138,75.899512
-16.259496,142,75.965676
-66.669276,91,76.205479
66.460348,126,76.271851
12.322261,139,76.347413
-341.742507,227,76.457569
-39.739986,128,76.516105
24.63738,192,76.607731
-74.644278,281,76.931543
-31.103086,134,76.999638
12.504488,163,77.081492
-70.190913,106,77.133303
-4.668125,129,77.196345
-120.474784,244,77.310368
18.665782,169,77.58578
29.856768,124,77.651819
-37.642347,158,77.731431
-45.016741,155,77.806762
-153.769882,176,77.895169
-36.407666,160,77.971341
-43.286285,155,78.974407
-36.06874,123,79.21385
-23.940206,129,79.280449
30.44625,233,79.398571
-75.366349,158,79.470134
15.139585,167,79.549841
-18.970445,140,79.611462
-78.558937,118,79.849116
-21.501334,240,79.976224
12.908058,153,80.05091
2.895981,188,80.140266
75.208207,1000,80.837579
21.339662,155,80.909047
-27.546972,146,80.978795
-29.703984,167,81.229103
-3.683071,203,81.337346
-44.511757,114,81.400063
-50.997056,126,81.461083
3.287484,212,81.557759
-51.973992,159,81.634448
47.091267,1000,82.310342
34.042988,206,82.406571
-4.981572,148,82.686101
46.729002,1000,83.369697
-70.381106,147,83.452285
-17.145793,150,83.530893
5.103618,166,83.611151
-17.963166,225,83.716181
-4.146168,180,83.800403
-48.173473,132,84.05633
-0.164466,160,84.138895
32.956013,235,84.263065
10.009048,235,84.374916
-20.129812,136,84.43574
-146.739716,258,84.746355
0.664263,111,84.807902
-177.231513,421,85.017344
17.375008,128,85.078536
-65.471394,209,85.175506
-22.697153,201,85.454443
0.007841,172,85.542024
-2.020488,170,85.62534
-100.956739,445,86.617627
-79.249268,167,86.903667
33.76906,123,86.968671
-132.943575,277,87.112805
51.468033,1000,87.869114
3.200034,192,87.964652
97.882162,1000,88.726269
-8.981347,222,88.832437
93.949117,1000,89.542859
-30.628241,199,89.635182
26.603229,189,89.912173
-122.559446,239,90.035888
-158.651408,900,90.68858
-29.437881,217,90.797783
45.171344,182,90.88496
51.984545,1000,91.583402
-9.675164,219,91.684098
112.352623,1000,92.361354
64.820665,1000,93.05858
45.76525,169,93.135221
28.784587,1000,94.58268
-59.74061,171,94.862758
35.155123,224,94.981256
-151.506088,231,95.091256
-267.274884,404,95.275921
-24.865982,179,95.569492
28.067069,327,95.742838
45.813719,186,95.832569
-57.285073,302,95.968707
1.717834,381,96.341863
71.178949,193,96.449043
-136.219075,203,96.549964
73.159405,1000,97.248522
80.823081,1000,97.949186
-63.351527,182,98.034239
-86.974416,233,98.336596
-71.907503,491,98.581117
-221.639626,339,98.739817
-68.027251,384,99.110299
131.427415,1000,99.829655
82.431735,1000,100.506104
-14.887965,204,100.614065
-0.460459,269,100.741917
-44.055283,212,100.841362
90.084176,1000,102.513057
-195.96264,478,102.930554
-51.30462,253,103.052606
52.118276,1000,103.746255
-19.884679,1000,104.435938
115.651444,1000,105.129456
-67.183334,239,105.242062
147.397471,1000,105.948598
-79.176698,165,106.02297
-99.193469,196,106.30822
-87.050125,206,106.422303
-7.718251,182,106.517385
28.825217,180,106.600127
155.292115,1000,107.296319
-252.093308,506,107.733123
-111.832747,225,107.844223
-2.253396,256,107.967373
-50.07371,314,108.113014
-51.407585,233,108.410593
-4.476177,113,108.480048
11.612154,221,108.597929
-23.808009,256,108.717725
135.093147,1000,110.69227
26.658544,292,110.83009
-52.120526,238,111.140889
-25.117786,1000,111.82717
100.574781,1000,112.510564
20.890656,232,112.637734
30.502547,1000,113.365614
23.68868,302,113.506141
-81.536619,231,113.615143
121.320929,1000,114.332115
118.898096,1000,115.059439
134.311662,1000,115.748151
-0.666266,260,115.868055
21.203766,184,116.144118
-90.603951,194,116.242739
148.124834,1000,116.942476
-14.486737,175,117.02262
-50.919008,256,118.647008
-77.054178,207,118.746317
-137.701286,615,119.248493
95.905745,1000,119.944761
90.988695,1000,120.63802
-61.432366,260,120.757653
40.298809,1000,121.447377
127.351477,1000,122.152069
149.415611,1000,122.850858
29.576393,226,122.960619
133.14782,1000,123.661936
-22.817121,231,123.96261
4.832259,359,124.175994
-122.844171,351,124.341817
141.672403,1000,125.045198
112.531636,1000,127.391705
-63.016073,351,127.74824
127.673824,873,128.197222
38.62211,1000,128.884581
84.780717,1000,129.574334
129.895021,1000,130.268414
73.148826,1000,130.949518
133.518203,1000,131.673324
-31.278187,440,132.093072
-19.808666,409,132.294666
68.521655,1000,132.979512
73.880579,1000,133.651086
76.363685,1000,135.636538
89.176372,1000,136.358737
61.746492,1000,137.039923
55.725736,1000,137.717689
81.84117,1000,138.393162
-51.663321,628,138.885684
-22.029923,492,139.136655
74.88382,1000,139.81406
68.876882,1000,140.478614
-114.860822,424,140.680732
90.915519,1000,141.384036
89.041911,1000,142.066917
-8.338487,402,144.124852
-14.776919,332,144.27892
80.297671,1000,144.977841
