#{"t_start": 1763241969.2923694, "env_id": "LunarLander-v3"}
r,l,t
-53.4444,87,15.455845
-75.497589,65,15.49642
-142.021585,103,15.55603
-121.068339,108,15.612642
-77.389275,102,15.661672
-143.893734,131,15.71874
-82.043069,73,15.750738
-50.745003,67,15.779752
-170.057478,111,15.82668
-104.758551,97,15.86868
-69.216281,61,15.89568
-173.114724,103,16.103672
-53.450594,163,16.183674
-112.035844,91,16.232672
-195.15431,125,16.295674
-118.741844,133,16.354674
-91.583341,72,16.385735
-114.953298,89,16.422736
-83.730961,87,16.460678
-131.939957,102,16.505678
-107.727843,71,16.536678
-45.052177,73,16.569683
-158.431964,114,16.803675
-167.677075,105,16.855675
-40.245363,68,16.891674
-65.501063,123,16.956686
-107.516912,95,17.345683
-57.150836,115,17.397677
-71.46564,76,17.430679
-68.194458,142,17.491683
-112.973484,72,17.52168
-47.947116,92,17.561678
-96.585207,89,17.771322
-64.063776,74,17.804856
-50.197218,115,17.860363
86.977744,1000,18.493489
-79.176205,71,18.526488
-147.531508,111,18.580487
-27.785041,142,18.642488
-105.862078,131,18.699543
-133.261631,98,18.742559
-155.760804,142,18.801547
-138.522528,85,18.838493
-212.270803,91,19.047487
-150.615196,77,19.083485
-66.920597,99,19.130992
-46.135613,85,19.169991
-205.352349,139,19.233017
-57.795179,90,19.272056
-98.663806,94,19.312072
-107.286464,94,19.35201
-162.289336,83,19.390017
-89.088045,94,19.430017
-167.769465,104,19.476017
-259.492265,156,19.70601
-170.541615,101,19.756009
-106.090348,135,19.822009
-119.03875,117,19.877806
-73.083972,74,19.913824
-42.842396,82,19.94997
-75.747645,80,19.985486
-20.260803,134,20.044486
-239.836966,139,20.104486
-94.579417,86,20.302491
-339.853307,132,20.36866
-249.80756,130,20.437659
-120.147292,96,20.481673
-72.946236,110,20.529723
-69.306932,70,20.559672
-119.747649,149,20.623661
-84.921742,87,20.661727
-75.104045,93,20.700667
-70.887548,135,20.922671
-69.3452,94,20.969671
-311.388795,139,21.037671
-116.674249,83,21.076671
-71.624717,74,21.110671
-139.826013,137,21.170742
-126.968363,98,21.211682
-96.006762,98,21.25468
-108.24169,80,21.288679
-79.647459,105,21.332679
-92.327475,121,21.542674
-77.032818,155,21.617672
-345.693518,102,21.666671
-107.896869,117,21.72569
-28.384721,121,21.776742
-59.676656,152,21.84168
-121.007306,99,21.885676
-139.5107,99,21.928677
-140.872432,108,21.97468
-106.811662,66,22.176047
-203.306975,111,22.228047
-186.104867,148,22.296049
-54.953467,94,22.340046
-92.242227,135,22.40013
-12.139956,66,22.42913
-52.271998,78,22.463054
-84.954361,84,22.49905
-41.681083,103,22.543054
-66.22332,84,22.579055
